,class
892,b'0'
951,b'0'
1703,b'0'
2,b'0'
934,b'0'
1526,b'0'
1745,b'0'
276,b'0'
1645,b'0'
1908,b'0'
2226,b'0'
2250,b'0'
2295,b'0'
783,b'0'
2140,b'0'
1611,b'1'
1103,b'0'
4,b'0'
1818,b'0'
1208,b'0'
2267,b'0'
1429,b'0'
516,b'0'
1612,b'0'
2262,b'0'
2360,b'0'
551,b'0'
1102,b'0'
1137,b'0'
2266,b'0'
1798,b'0'
785,b'0'
2374,b'0'
2159,b'0'
2063,b'0'
1855,b'0'
525,b'0'
1849,b'0'
2006,b'0'
1141,b'0'
2166,b'0'
420,b'1'
527,b'0'
1811,b'0'
531,b'0'
2505,b'0'
1011,b'0'
952,b'0'
1459,b'0'
995,b'0'
1910,b'0'
680,b'0'
1226,b'0'
1601,b'0'
2546,b'0'
2416,b'0'
1959,b'0'
742,b'0'
1498,b'0'
114,b'0'
982,b'0'
2398,b'0'
387,b'0'
1898,b'0'
1232,b'0'
1801,b'0'
1664,b'0'
396,b'0'
614,b'0'
2278,b'0'
281,b'1'
1343,b'0'
1020,b'0'
2574,b'0'
136,b'0'
1407,b'0'
1122,b'0'
1705,b'0'
2376,b'0'
332,b'0'
809,b'0'
2205,b'0'
827,b'0'
2372,b'0'
1473,b'0'
2258,b'0'
2306,b'0'
1007,b'0'
2410,b'0'
1045,b'0'
2145,b'0'
415,b'0'
2325,b'0'
1312,b'0'
747,b'0'
1212,b'0'
294,b'0'
269,b'0'
609,b'0'
2419,b'0'
1250,b'0'
517,b'1'
2453,b'0'
1196,b'0'
2518,b'0'
1071,b'0'
985,b'0'
2137,b'0'
316,b'0'
2297,b'1'
1048,b'0'
669,b'0'
876,b'0'
512,b'0'
1399,b'0'
792,b'0'
1386,b'0'
2343,b'0'
1742,b'0'
1621,b'0'
1985,b'0'
301,b'1'
2276,b'0'
17,b'0'
859,b'0'
637,b'0'
1879,b'0'
88,b'0'
779,b'0'
478,b'0'
389,b'1'
2236,b'0'
846,b'0'
1163,b'0'
2485,b'0'
1500,b'0'
306,b'0'
263,b'0'
702,b'0'
791,b'0'
1083,b'0'
686,b'0'
2461,b'0'
1528,b'0'
1224,b'0'
751,b'0'
1073,b'0'
94,b'0'
1460,b'0'
2037,b'0'
1233,b'0'
1625,b'0'
305,b'1'
249,b'0'
1819,b'0'
777,b'0'
341,b'1'
670,b'0'
532,b'1'
1840,b'0'
1918,b'0'
223,b'0'
173,b'0'
1302,b'0'
931,b'0'
180,b'0'
1831,b'0'
1188,b'0'
1426,b'0'
454,b'0'
2567,b'0'
1519,b'0'
2318,b'0'
520,b'0'
1592,b'0'
1638,b'0'
825,b'0'
1675,b'0'
489,b'0'
421,b'1'
1217,b'0'
231,b'0'
391,b'1'
1809,b'0'
174,b'0'
2165,b'0'
708,b'0'
1945,b'0'
394,b'0'
1328,b'0'
1051,b'0'
911,b'0'
225,b'0'
2441,b'0'
1220,b'0'
182,b'0'
1572,b'0'
993,b'0'
84,b'0'
2516,b'0'
740,b'0'
1775,b'0'
1903,b'0'
475,b'0'
2201,b'0'
1415,b'0'
1448,b'0'
85,b'0'
432,b'0'
1714,b'0'
2363,b'0'
80,b'0'
1014,b'0'
802,b'0'
2031,b'0'
566,b'0'
561,b'0'
87,b'0'
2071,b'0'
556,b'1'
2399,b'0'
2153,b'0'
401,b'0'
1753,b'0'
397,b'1'
1529,b'0'
111,b'0'
8,b'0'
2440,b'0'
149,b'0'
1322,b'0'
91,b'0'
1315,b'0'
2146,b'0'
367,b'0'
399,b'0'
1627,b'0'
1171,b'0'
1649,b'0'
1110,b'1'
118,b'0'
2049,b'0'
1350,b'0'
430,b'1'
1433,b'0'
2134,b'0'
505,b'0'
528,b'0'
177,b'0'
939,b'0'
1600,b'0'
1408,b'0'
0,b'0'
2451,b'0'
2249,b'1'
76,b'0'
242,b'0'
1111,b'0'
552,b'0'
1724,b'0'
1836,b'0'
1234,b'0'
158,b'0'
965,b'0'
1556,b'0'
2139,b'0'
2220,b'0'
2016,b'0'
2207,b'0'
320,b'0'
1653,b'0'
756,b'0'
2357,b'0'
1574,b'0'
679,b'0'
2067,b'0'
1038,b'0'
2029,b'0'
937,b'0'
1383,b'0'
2179,b'0'
618,b'0'
1115,b'0'
1092,b'0'
732,b'1'
441,b'0'
1987,b'0'
1568,b'1'
1264,b'0'
32,b'0'
2093,b'0'
606,b'0'
1387,b'0'
1751,b'0'
942,b'0'
251,b'0'
1053,b'0'
229,b'0'
1482,b'0'
1626,b'0'
2555,b'0'
1336,b'0'
1560,b'0'
170,b'0'
2458,b'0'
140,b'0'
19,b'0'
1245,b'0'
1046,b'0'
1563,b'0'
671,b'0'
1924,b'0'
1385,b'1'
1228,b'0'
2189,b'0'
2464,b'0'
1087,b'0'
1619,b'0'
156,b'0'
1354,b'0'
2089,b'0'
1911,b'0'
1525,b'0'
1080,b'0'
548,b'0'
469,b'0'
957,b'0'
572,b'0'
2468,b'0'
1772,b'0'
418,b'1'
1678,b'0'
185,b'0'
2054,b'0'
1390,b'0'
1406,b'0'
1769,b'0'
1066,b'0'
1027,b'0'
466,b'0'
2528,b'0'
2124,b'0'
2501,b'0'
889,b'0'
13,b'0'
599,b'0'
728,b'0'
2514,b'0'
324,b'0'
1660,b'0'
2114,b'0'
1793,b'0'
66,b'0'
1492,b'0'
490,b'0'
1571,b'0'
2400,b'0'
470,b'0'
620,b'0'
238,b'1'
103,b'0'
506,b'0'
2105,b'0'
1698,b'0'
1218,b'0'
390,b'0'
442,b'1'
2428,b'0'
873,b'0'
944,b'0'
2329,b'0'
616,b'0'
523,b'0'
1951,b'0'
2579,b'0'
402,b'0'
1942,b'0'
121,b'0'
183,b'0'
1814,b'0'
1164,b'0'
773,b'0'
2463,b'0'
1146,b'0'
1494,b'1'
1286,b'0'
2302,b'0'
1712,b'0'
61,b'0'
378,b'1'
1949,b'0'
1144,b'0'
567,b'0'
1225,b'0'
1620,b'0'
222,b'0'
2570,b'0'
2332,b'0'
1310,b'0'
127,b'0'
2255,b'0'
58,b'0'
999,b'0'
47,b'0'
393,b'0'
2347,b'0'
912,b'0'
1773,b'0'
2524,b'0'
2199,b'0'
1663,b'0'
2328,b'0'
234,b'0'
975,b'0'
1132,b'0'
857,b'0'
2052,b'0'
1357,b'0'
2009,b'0'
941,b'0'
135,b'0'
533,b'0'
1199,b'0'
1056,b'0'
411,b'0'
1372,b'1'
1462,b'0'
1401,b'0'
1370,b'0'
1989,b'0'
191,b'0'
2150,b'0'
1292,b'0'
1941,b'0'
38,b'0'
1835,b'1'
1381,b'0'
2270,b'0'
1559,b'0'
1916,b'0'
337,b'0'
717,b'1'
1090,b'0'
2509,b'0'
1876,b'0'
290,b'0'
719,b'1'
1834,b'0'
2526,b'0'
28,b'0'
2535,b'0'
587,b'0'
2361,b'0'
800,b'0'
1998,b'0'
558,b'0'
542,b'0'
2330,b'0'
1886,b'0'
675,b'0'
278,b'0'
879,b'0'
2342,b'0'
900,b'0'
2116,b'0'
2426,b'0'
2542,b'1'
2536,b'0'
1628,b'0'
1719,b'0'
2316,b'0'
495,b'0'
1616,b'0'
2218,b'0'
1364,b'0'
1969,b'0'
201,b'0'
563,b'0'
1722,b'0'
2301,b'0'
2274,b'0'
593,b'1'
427,b'1'
483,b'0'
1983,b'0'
1737,b'1'
555,b'0'
339,b'1'
1373,b'0'
2185,b'0'
